full_name,created_at,updated_at,size,stargazers_count,language,has_issues,forks_count,archived,open_issues_count,topics,open_issues,description,fork,has_rego,has_sentinel,has_pulumi,has_cedar,has_kyverno,has_custodian,has_awsconfigcloudgaurd,has_Kubewarden,has_opagatekeeper,contributors_count
PacktPublishing/Terraform-Cookbook-Second-Edition,2022-07-26T12:00:19Z,2025-04-02T21:05:05Z,672,96,HCL,True,104,False,2,"arm-templates,azure-infrastructure-automation,azure-resource-manager,ci-cd-book,hashicorp-terraform,iac,infrastructure-as-code,infrastructure-automation,ms-azure,terraform-aws,terraform-azure,terraform-in-action,terraform-up-and-running",2,"Code Repository for Terraform Cookbook Second Edition, Published by Packt",False,False,True,False,False,False,False,False,False,False,7
PaloAltoNetworks/prisma-cloud-compute-sample-code,2021-11-09T15:39:50Z,2024-10-24T15:16:18Z,14523,35,Open Policy Agent,True,41,False,2,"examples,prisma-cloud,prisma-cloud-compute-edition,samples,twistlock",2,"Example scripts, snippets, and other documents related to Prisma Cloud Compute",False,True,False,False,False,False,False,False,False,False,9
PaloAltoNetworks/rbac-police,2022-05-16T14:40:24Z,2025-03-09T12:26:10Z,366,343,Go,True,38,False,7,"kubernetes,kubernetes-rbac,kubernetes-security,prisma-cloud,rbac,security",7,Evaluate the RBAC permissions of Kubernetes identities through policies written in Rego,False,True,False,False,False,False,False,False,False,False,3
Parsifal-M/backstage-opa-plugins,2023-02-25T15:51:40Z,2025-04-04T22:32:28Z,11851,53,TypeScript,True,10,False,4,"backstage,backstage-opa-backend,backstage-plugin,opa,open-source,permissions,plugins,rbac",4,Open Policy Agent (OPA) Plugins for Backstage,False,True,False,False,False,False,False,False,False,False,7
SAP/InfraBox,2018-03-22T14:06:46Z,2025-04-04T03:38:18Z,19525,272,Python,True,63,False,54,"ci,docker,docker-compose,kubernetes,open-source",54,InfraBox is a cloud native continuous integration system,False,True,False,False,False,False,False,False,False,False,46
SamYuan1990/Probe,2020-10-14T12:21:14Z,2024-12-30T07:05:17Z,3822,36,JavaScript,True,12,False,3,"fabric,hyperledger-fabric,performance,performance-analysis,performance-visualization,tool,tps,ui",3,"Probe is a web GUI application with for Hyperledger Fabric maintainer, user, research to find the best block config logic for specific chain-code.",False,True,False,False,False,False,False,False,False,False,3
Scalr/sample-tf-opa-policies,2020-01-13T12:52:23Z,2025-03-24T22:47:35Z,178,166,Open Policy Agent,True,73,False,6,,6,,False,True,False,False,False,False,False,False,False,False,11
ShanguUncle/UnityChatHololens,2020-03-31T12:41:18Z,2024-11-20T00:20:44Z,356247,48,C#,True,23,False,0,"chat,hololens,vidoechat",0,Unity Video Chat Hololens,False,False,True,False,False,False,False,False,False,False,3
StyraInc/opa-aws-cloudformation-hook,2022-03-08T13:41:40Z,2024-09-02T11:58:20Z,210,36,Python,True,5,False,6,"authorization,aws,aws-cloudformation,aws-cloudformation-hooks,cloudformation,opa,open-policy-agent,policy-as-code,rego",6,AWS Cloudformation Hook for OPA-powered infrastructure policy enforcement,False,True,False,False,False,False,False,False,False,False,6
StyraInc/regal,2023-01-23T15:23:06Z,2025-04-04T13:11:43Z,7546,291,Go,True,40,False,95,"code-quality,language-server,linter,lsp,magnificent,opa,open-policy-agent,policy-as-code,rego,static-analysis",95,"Regal is a linter and language server for Rego, bringing your policy development experience to the next level!",False,True,False,False,False,False,False,False,False,False,33
TrueTechLabs/fabric-trace,2024-02-28T01:26:29Z,2025-04-05T16:25:44Z,180387,137,Shell,True,19,False,0,,0,基于区块链Hyperledger Fabric V2.5的农产品溯源/商品/通用溯源应用模板，部署简单，附压测工具、区块链浏览器，文档详细。可以快速使用本系统搭建自己的溯源系统，帮助想法快速落地。,False,True,False,False,False,False,False,False,False,False,3
UNINETTSigma2/helm-charts,2017-06-08T10:52:29Z,2025-02-26T08:24:42Z,84050,14,Mustache,True,11,False,1,,1,Helm charts curated by Sigma2 AS,False,True,False,False,False,False,False,False,False,False,18
VBAndCs/Vazor,2019-03-29T03:53:26Z,2024-11-11T14:30:53Z,70319,59,Visual Basic .NET,True,8,False,7,,7,Vazor is a VB.NET Razor for ASP.NET Core 6.0 (MVC and Razor Pages),False,False,True,False,False,False,False,False,False,False,2
anderseknert/opa-policy-composition,2021-03-24T21:06:15Z,2025-03-04T14:27:00Z,7,7,Open Policy Agent,True,5,False,0,"opa,open-policy-agent,rego",0,Example policies demonstrating policy composition.,False,True,False,False,False,False,False,False,False,False,2
angrycub/nomad_example_jobs,2018-02-27T17:41:00Z,2025-03-30T19:01:06Z,136438,228,HCL,True,58,False,1,,1,Jobs and resources that I have used to experiment with Nomad,False,False,True,False,False,False,False,False,False,False,3
aquasecurity/postee,2016-12-04T13:29:28Z,2025-04-04T03:49:41Z,8417,210,Go,True,64,False,45,"aqua,automation,cloud-native,devsecops,docker,golang,jira,kubernetes,messaging,opa,rego,security,slack,soar",45,Notice: Postee is no longer under active development or maintenance.,False,True,False,False,False,False,False,False,False,False,28
aquasecurity/tracee-action,2021-05-12T23:28:29Z,2025-04-04T03:49:42Z,73,81,Open Policy Agent,True,8,False,3,"ebpf,github-actions,runtime-scanner,security",3,Protect GitHub Actions with Tracee,False,True,False,False,False,False,False,False,False,False,4
aquasecurity/trivy,2019-04-11T01:01:07Z,2025-04-07T09:24:29Z,901518,25337,Go,True,2487,False,216,"containers,devsecops,docker,go,golang,hacktoberfest,iac,infrastructure-as-code,kubernetes,misconfiguration,security,security-tools,vulnerability,vulnerability-detection,vulnerability-scanners",216,"Find vulnerabilities, misconfigurations, secrets, SBOM in containers, Kubernetes, code repositories, clouds and more",False,True,False,False,False,False,False,False,False,False,446
aquasecurity/trivy-checks,2023-09-06T01:08:17Z,2025-04-05T06:35:22Z,4356,48,Open Policy Agent,False,36,False,13,,13,,False,True,False,False,False,False,False,False,False,False,22
artifacthub/hub,2020-01-14T09:53:51Z,2025-04-06T16:25:06Z,88109,1807,TypeScript,True,249,False,19,"cloud-native,cncf,kubernetes,packages",19,"Find, install and publish Cloud Native packages",False,False,False,False,False,True,False,False,False,False,47
artifacthub/hub,2020-01-14T09:53:51Z,2025-04-06T16:25:06Z,88109,1807,TypeScript,True,249,False,19,"cloud-native,cncf,kubernetes,packages",19,"Find, install and publish Cloud Native packages",False,False,False,True,False,False,False,False,False,True,47
artifacthub/hub,2020-01-14T09:53:51Z,2025-04-06T16:25:06Z,88109,1807,TypeScript,True,249,False,19,"cloud-native,cncf,kubernetes,packages",19,"Find, install and publish Cloud Native packages",False,True,False,False,False,False,False,False,False,False,47
aws-samples/aws-infra-policy-as-code-with-terraform,2023-06-12T05:58:47Z,2025-03-15T23:08:02Z,221,40,Open Policy Agent,True,17,False,2,"aws,compliance,compliance-as-code,infra,opa,open-policy-agent,policy-as-code,rego,terraform",2,"Implements OPA-based preventive security controls for AWS Infrastructure using Terraform Infrastructure as Code (IaC), that can establish a security baseline and safeguard resources before deployment into the AWS Accounts and reduce security risks.",False,True,False,False,False,False,False,False,False,False,3
bacalhau-project/bacalhau,2021-11-05T15:30:29Z,2025-04-04T16:09:57Z,200164,776,Go,True,98,False,176,"ai-art,ai-data-collection,ai-pipeline,batch-processing,bioinformatics-pipeline,data-analysis,data-engineering,data-science,decentralized,decentralized-computing,distributed,gene-sequencing,insulators,iot,logging-framework,orchestration-framework,p2p,video-processing",176,"Community-driven, simple, yet powerful framework for fast, cost-effective distributed Compute over Data.",False,True,False,False,False,False,False,False,False,False,68
bachingo/TF2Vintage,2017-11-27T16:25:02Z,2025-01-01T10:33:28Z,596750,31,C++,False,25,False,0,,0,Current repository for Souce mod Team Fortress 2 Vintage,False,False,True,False,False,False,False,False,False,False,17
besley/Slickflow,2014-11-30T14:45:33Z,2025-04-02T07:33:25Z,508415,823,JavaScript,True,251,False,11,"bpmn,net8,workflow-engine",11,".NET Open Source Workflow Engine,  .NET 开源工作流",False,False,True,False,False,False,False,False,False,False,3
boostsecurityio/poutine,2024-04-09T17:59:41Z,2025-04-07T07:48:37Z,6139,263,Go,True,27,False,27,"ci,cli,devops,devsecops,gh-extension,github,github-actions,golang,security,security-scanner,supply-chain,supply-chain-security",27,boostsecurityio/poutine,False,True,False,False,False,False,False,False,False,False,11
borgeby/jarl,2022-04-04T00:43:31Z,2024-10-29T02:19:14Z,3593,41,Clojure,True,5,False,25,"clojure,clojurescript,jvm,opa,rego",25,"Jarl is an Open Policy Agent (OPA) evaluator for the JVM and Javascript, written in Clojure(Script)",False,True,False,False,False,False,False,False,False,False,5
btkrausen/hashicorp,2020-03-03T17:49:01Z,2025-04-07T11:12:44Z,40750,1290,HCL,True,1896,False,10,,10,"Random code for HashiCorp related projects, training, etc.",False,False,True,False,False,False,False,False,False,False,13
carbonetes/brainiac,2023-04-20T06:16:44Z,2025-01-24T00:44:34Z,78720,70,Open Policy Agent,True,8,False,1,"aws,devsecops,golang,security,security-tools",1,"BrainIAC uses static code analysis to analyze IAC code to detect security issues before deployment. This tool can scan for issues like security policy misconfigurations, insecure cloud-based services, and compliance issues.",False,True,False,False,False,False,False,False,False,False,12
chainloop-dev/chainloop,2023-03-06T14:30:50Z,2025-04-07T13:28:51Z,29882,410,Go,True,33,False,114,"attestation,compliance,cyclonedx,devsecops,in-toto,license,metadata-platform,open-source-licensing,ospo,oss-compliance,regulated-industry,sbom,sbom-discovery,sbom-distribution,security,slsa,slsa-provenance,spdx,supply-chain-security",114,"Evidence store and policy engine for your Software Supply Chain attestations, SBOMs, VEX, SARIF, QA reports, and more",False,True,False,False,False,False,False,False,False,False,22
chaitin/veinmind-tools,2022-02-08T08:12:15Z,2025-04-03T07:09:22Z,21068,1574,Go,True,184,False,24,"cloud-native,cloud-security,container-security,containerd,docker,image-security,security",24,veinmind-tools 是由长亭科技自研，基于 veinmind-sdk 打造的容器安全工具集,False,True,False,False,False,False,False,False,False,False,14
chef/automate,2019-04-03T15:26:38Z,2025-04-07T13:00:02Z,527939,236,Go,True,116,False,1195,hacktoberfest,1195,"Chef Automate provides a full suite of enterprise capabilities for maintaining continuous visibility into application, infrastructure, and security automation. ",False,True,False,False,False,False,False,False,False,False,151
choria-io/aaasvc,2019-01-29T15:14:21Z,2024-09-12T07:33:22Z,4210,6,Go,True,8,False,6,,6,Choria Centralized AAA Service,False,True,False,False,False,False,False,False,False,False,6
choria-io/go-choria,2017-06-02T14:58:43Z,2025-04-07T12:43:49Z,22245,93,Go,True,32,False,39,"backplane,framework,orchestration",39,"Backplane Development Framework and Server hosting Choria Agents, Networks, Federations and Streaming Data",False,True,False,False,False,False,False,False,False,False,20
christophwille/dotnet-opa-wasm,2019-11-19T07:59:53Z,2025-02-03T00:03:22Z,3123,46,C#,True,11,False,10,"csharp,dotnet-core,opa,open-policy-agent,wasm,wasmtime,web-assembly,webassembly",10,Call Open Policy Agent (OPA) policies in WASM (Web Assembly) from .NET Core,False,True,False,False,False,False,False,False,False,False,2
cisagov/ScubaGear,2022-07-21T16:46:41Z,2025-04-06T16:23:04Z,32112,2042,PowerShell,True,274,False,216,"assessment-tool,cisa,contributions-welcome,cybersecurity,m365,open-policy-agent,open-source,powershell,rego,scuba,scubaconnect,security,security-automation",216,Automation to assess the state of your M365 tenant against CISA's baselines,False,True,False,False,False,False,False,False,False,False,28
cisagov/ScubaGoggles,2023-07-24T14:07:20Z,2025-04-05T06:59:50Z,5276,215,Open Policy Agent,True,35,False,61,"cisa,cybersecurity,google,google-workspace,gws,opa,open-policy-agent,open-source,python,scuba,scubaconnect,security,security-automation",61,SCuBA Secure Configuration Baselines and assessment tool for Google Workspace ,False,True,False,False,False,False,False,False,False,False,16
cloudposse/atmos,2020-09-03T00:46:14Z,2025-04-06T19:14:58Z,109476,936,Go,True,115,False,98,"automation,cli,cloud,devops,hcl2,helm,helmfile,orchestration,terraform,workflow",98,"👽 Terraform Orchestration Tool for DevOps. Keep environment configuration DRY with hierarchical imports of configurations, inheritance, and WAY more. Native support for Terraform and Helmfile.",False,True,False,False,False,False,False,False,False,False,49
cloudposse/terraform-provider-utils,2021-01-25T15:17:00Z,2025-04-07T10:48:08Z,1048,104,Go,True,18,False,16,"config,configuration,configuration-management,deep-merge,provider,spacelift,stack,terraform,terraform-providers,utilities,utils",16,"The Cloud Posse Terraform Provider for various utilities (e.g. deep merging, stack configuration management)",False,True,False,False,False,False,False,False,False,False,9
cloudposse/terraform-spacelift-cloud-infrastructure-automation,2020-11-05T17:03:19Z,2025-04-04T03:55:48Z,4260,38,HCL,True,23,False,22,,22,Terraform module to provision Spacelift resources for cloud infrastructure automation,False,True,False,False,False,False,False,False,False,False,19
concourse/concourse,2014-04-19T20:45:45Z,2025-04-07T14:26:10Z,184131,7528,Go,True,854,False,142,"ci,ci-cd,concourse,containerd,containers,continuous-delivery,continuous-integration,elm,go,pipelines,runc",142,Concourse is a container-based automation system written in Go.,False,True,False,False,False,False,False,False,False,False,559
confidential-containers/cloud-api-adaptor,2022-02-14T14:01:17Z,2025-04-02T11:12:57Z,28827,55,Go,True,100,False,201,,201,Ability to create Kata pods using cloud provider APIs aka the peer-pods approach,False,True,False,False,False,False,False,False,False,False,63
confidential-containers/trustee,2022-04-25T12:45:02Z,2025-04-07T06:10:29Z,2120,90,Rust,True,105,False,97,"attestation,confidential-computing,key-management",97,Attestation and Secret Delivery Components,False,True,False,False,False,False,False,False,False,False,52
cvat-ai/cvat,2018-06-29T14:02:45Z,2025-04-07T08:55:11Z,336648,13519,Python,True,3192,False,576,"annotation,annotation-tool,annotations,boundingbox,computer-vision,computer-vision-annotation,dataset,deep-learning,image-annotation,image-classification,image-labeling,image-labelling-tool,imagenet,labeling,labeling-tool,object-detection,pytorch,semantic-segmentation,tensorflow,video-annotation",576,"Annotate better with CVAT, the industry-leading data engine for machine learning. Used and trusted by teams at any scale, for data of any scale.",False,True,False,False,False,False,False,False,False,False,274
dadrus/heimdall,2022-04-12T08:54:37Z,2025-04-03T20:33:39Z,24596,179,Go,True,19,False,48,"access-control,access-management,api-gateway,auth-api,auth-proxy,authentication,authorization,decision-api,golang,identity-aware-proxy,oauth2,openid-connect,policy-enforcement",48,A cloud native Identity Aware Proxy and Access Control Decision service,False,True,False,False,False,False,False,False,False,False,19
defenseunicorns/lula,2022-08-29T18:58:01Z,2025-04-04T10:12:57Z,71659,170,Go,True,27,False,113,,113,The Compliance Validator,False,True,False,False,False,False,False,False,False,False,24
deliveryhero/helm-charts,2020-06-24T20:18:36Z,2025-03-30T08:50:46Z,3188,513,Mustache,True,299,False,4,,4,Helm Charts ⛵ @ Delivery Hero ⭐,False,True,False,False,False,False,False,False,False,False,180
dell/helm-charts,2020-10-06T12:55:49Z,2025-04-04T09:43:43Z,1469,19,Open Policy Agent,False,17,False,5,,5,The source for Dell Helm charts.,False,True,False,False,False,False,False,False,False,False,40
dell/karavi-authorization,2020-12-02T13:44:40Z,2025-03-21T21:10:09Z,10094,10,Go,False,6,False,3,,3,Karavi Authorization is part of the Karavi open source suite of Kubernetes storage enablers for Dell products. Karavi Authorization provides Storage & Kubernetes administrators the ability to apply RBAC for Dell CSI Drivers. ,False,True,False,False,False,False,False,False,False,False,42
devspace-cloud/devspace-cloud,2019-07-17T08:02:40Z,2024-12-12T11:57:39Z,41895,109,Open Policy Agent,True,15,False,28,"cloud-native,development,devspace,gatekeeper,kubernetes,namespace-isolation,namespaces,opa,open-policy-agent,provision-namespaces,provisioning,rbac,sandbox,sandbox-environment,sandboxing",28,DevSpace Cloud ⚡ Turn Kubernetes into a  Powerful Developer Platform (new on-premise edition),False,True,False,False,False,False,False,False,False,False,6
dfds/dojo,2020-01-15T13:54:36Z,2024-08-07T07:37:44Z,115072,11,C#,True,10,False,5,hactoberfest,5,The DED dojo is the main repository for developer workshops and katas @ DFDS,False,False,True,False,False,False,False,False,False,False,27
dnsimple/dnsimple-api-examples,2016-08-27T12:58:28Z,2025-03-11T16:02:04Z,762,28,Ruby,True,16,False,1,"dnsimple-policy-eng,dnsimple-policy-group-apiclient,dnsimple-policy-triage-application",1,Example scripts and code to demonstrate how to use the DNSimple API.,False,False,True,False,False,False,False,False,False,False,16
edgelesssys/contrast,2023-10-12T08:24:05Z,2025-04-07T15:13:34Z,137533,230,Go,True,10,False,25,,25,Deploy and manage confidential containers on Kubernetes,False,True,False,False,False,False,False,False,False,False,22
elastic/cloudbeat,2022-02-14T10:43:26Z,2025-04-02T14:59:45Z,14061,48,Go,True,42,False,115,"cloud,cspm,golang,vulnerability-detection,vulnerability-scanners",115,Analyzing Cloud Security Posture,False,True,False,False,False,False,False,False,False,False,36
elastic/csp-security-policies,2021-11-03T12:16:00Z,2025-01-12T00:30:42Z,2824,29,Open Policy Agent,True,16,False,1,,1,Cloud Security Posture security policies ,False,True,False,False,False,False,False,False,False,False,15
elastic/harp,2020-11-25T10:11:02Z,2025-02-20T22:23:51Z,5483,149,Go,True,19,False,18,"cloud,cloud-security,cloud-storage,consul,encryption,etcdv3,gitops,golang,golang-library,kubernetes,kv-store,paseto,pipeline,rego,secret-management,secret-storage,unix-command,vault,yaml,zookeeper",18,Secret management by contract toolchain ,False,True,False,False,False,False,False,False,False,False,5
element-hq/matrix-authentication-service,2024-09-06T15:30:30Z,2025-04-07T08:17:06Z,20641,93,Rust,True,29,False,143,,143,,False,True,False,False,False,False,False,False,False,False,41
enterprise-contract/ec-cli,2022-05-31T09:01:15Z,2025-04-07T14:34:19Z,12721,30,Go,True,37,False,52,hacktoberfest,52,Supply chain artifact verifier and policy checker,False,True,False,False,False,False,False,False,False,False,31
enterprise-contract/ec-policies,2022-03-31T17:22:28Z,2025-04-04T17:06:39Z,5979,13,Open Policy Agent,True,35,False,21,,21,Rego policies for use with Enterprise Contract,False,True,False,False,False,False,False,False,False,False,26
env0/acme-demo,2021-05-17T19:31:42Z,2025-03-23T17:00:32Z,33794,7,Open Policy Agent,True,14,False,8,,8,"ACME, Inc. Demo environment for Sales",False,False,False,True,False,False,False,False,False,False,13
env0/acme-demo,2021-05-17T19:31:42Z,2025-03-23T17:00:32Z,33794,7,Open Policy Agent,True,14,False,8,,8,"ACME, Inc. Demo environment for Sales",False,True,False,False,False,False,False,False,False,False,13
env0/acme-fitness,2022-01-05T22:17:26Z,2024-09-11T21:09:42Z,204,5,HCL,True,10,False,0,,0,A public repo to help customers quickly try env0,False,True,False,False,False,False,False,False,False,False,2
env0/templates,2020-02-23T14:43:32Z,2025-03-19T08:02:13Z,2787,28,HCL,True,65,False,2,,2,Sample Terraform templates ready for env0 integration,False,True,False,False,False,False,False,False,False,False,33
